claim_id,policy_age_days,claim_amount,previous_claims,incident_severity,police_report,witness_present,policy_holder_age,policy_tenure_years,vehicle_age,fraud
CLM_000000,171,1217.48,0,Total Loss,1,0,22,4.3,7.7,0
CLM_000001,1098,82.64,0,Minor,0,0,29,16.5,8.2,0
CLM_000002,480,1606.27,1,Moderate,0,0,27,4.6,3.3,0
CLM_000003,333,11733.59,0,Minor,0,0,63,0.5,2.5,0
CLM_000004,61,6677.14,0,Moderate,1,0,18,1.2,1.4,0
CLM_000005,61,5666.23,1,Minor,0,0,54,1.8,7.0,0
CLM_000006,21,1958.65,1,Minor,0,0,34,0.4,5.1,0
CLM_000007,734,437.67,2,Severe,1,0,60,4.7,1.2,0
CLM_000008,335,6457.14,0,Minor,0,1,38,2.2,7.9,0
CLM_000009,449,852.84,0,Minor,0,0,45,8.7,10.7,0
CLM_000010,7,78916.46,0,Severe,0,1,52,2.7,0.3,0
CLM_000011,1278,7014.68,1,Minor,0,1,63,2.2,7.4,0
CLM_000012,652,1247.66,0,Moderate,0,1,36,0.2,9.6,0
CLM_000013,87,1191.44,0,Minor,0,1,35,0.5,23.8,0
CLM_000014,73,2593.03,0,Minor,1,1,52,5.7,1.4,0
CLM_000015,73,2081.3,1,Moderate,1,0,21,14.0,2.3,0
CLM_000016,132,15918.71,2,Minor,0,0,19,1.6,16.9,0
CLM_000017,32,5958.62638988125,0,Severe,0,1,50,5.0,0.5,1
CLM_000018,206,994.81,1,Total Loss,0,1,55,3.0,3.7,0
CLM_000019,125,50800.48,0,Minor,0,0,50,9.6,3.5,0
CLM_000020,93,6826.5722199454995,2,Total Loss,0,1,43,0.8,4.7,1
CLM_000021,54,9445.18,0,Minor,0,0,36,2.4,2.0,0
CLM_000022,126,1197.1,1,Minor,0,0,68,1.6,13.0,0
CLM_000023,166,5139.31,0,Minor,0,0,70,2.3,1.6,0
CLM_000024,65,11851.816031007778,3,Moderate,0,1,46,0.9,5.2,1
CLM_000025,561,175.13,1,Moderate,0,1,34,2.1,3.4,0
CLM_000026,36,135200.46341851936,3,Minor,0,1,29,2.9,1.6,1
CLM_000027,85,33072.36645483143,3,Severe,0,1,51,0.3,1.0,1
CLM_000028,327,1642.88,1,Severe,1,0,26,4.1,15.7,0
CLM_000029,17,570.55,1,Minor,0,1,26,3.7,4.1,0
CLM_000030,341,5020.79,2,Severe,0,0,37,6.4,4.6,0
CLM_000031,68,3394.96,1,Total Loss,0,1,52,1.7,7.6,0
CLM_000032,24,5082.22,1,Minor,0,0,67,0.2,0.4,0
CLM_000033,1085,3973.35,1,Minor,1,0,48,1.9,6.3,0
